ucgid,breakdown,quarter,gen_population,county_name,prison_pop,admissions,exits,state,id,breakdown_category
0500000US17001,Male,2021-07-01,32414,Adams,272,-9999,-9999,Illinois,1,Sex
0500000US17001,Male,2010-10-01,32596,Adams,306,-9999,-9999,Illinois,2,Sex
0500000US17001,Male,2011-10-01,32594,Adams,352,-9999,-9999,Illinois,3,Sex
0500000US17001,Male,2012-10-01,32583,Adams,386,-9999,-9999,Illinois,4,Sex
0500000US17001,Male,2013-10-01,32761,Adams,344,-9999,-9999,Illinois,5,Sex
0500000US17001,Male,2014-10-01,32768,Adams,363,-9999,-9999,Illinois,6,Sex
0500000US17001,Male,2020-10-01,32241,Adams,243,-9999,-9999,Illinois,7,Sex
0500000US17001,Male,2022-10-01,32311,Adams,309,-9999,-9999,Illinois,8,Sex
0500000US17001,Male,2019-10-01,32276,Adams,320,-9999,-9999,Illinois,9,Sex
0500000US17001,Male,2009-10-01,32250,Adams,266,-9999,-9999,Illinois,10,Sex
0500000US17001,Male,2018-10-01,32481,Adams,317,-9999,-9999,Illinois,11,Sex
0500000US17001,Male,2021-10-01,32414,Adams,292,-9999,-9999,Illinois,12,Sex
0500000US17001,Male,2023-10-01,31962,Adams,320,-9999,-9999,Illinois,13,Sex
0500000US17001,Male,2015-10-01,32676,Adams,342,-9999,-9999,Illinois,14,Sex
0500000US17001,Male,2016-10-01,32663,Adams,344,-9999,-9999,Illinois,15,Sex
0500000US17001,Male,2017-10-01,32698,Adams,330,-9999,-9999,Illinois,16,Sex
0500000US17001,Male,2009-04-01,32250,Adams,261,-9999,-9999,Illinois,17,Sex
0500000US17001,Male,2010-04-01,32596,Adams,292,-9999,-9999,Illinois,18,Sex
0500000US17001,Male,2011-04-01,32594,Adams,325,-9999,-9999,Illinois,19,Sex
0500000US17001,Male,2012-04-01,32583,Adams,354,-9999,-9999,Illinois,20,Sex
0500000US17001,Male,2013-04-01,32761,Adams,373,-9999,-9999,Illinois,21,Sex
0500000US17001,Male,2014-04-01,32768,Adams,341,-9999,-9999,Illinois,22,Sex
0500000US17001,Male,2015-04-01,32676,Adams,356,-9999,-9999,Illinois,23,Sex
0500000US17001,Male,2017-04-01,32698,Adams,325,-9999,-9999,Illinois,24,Sex
0500000US17001,Male,2018-04-01,32481,Adams,324,-9999,-9999,Illinois,25,Sex
0500000US17001,Male,2019-04-01,32276,Adams,335,-9999,-9999,Illinois,26,Sex
0500000US17001,Male,2020-04-01,32241,Adams,265,-9999,-9999,Illinois,27,Sex
0500000US17001,Male,2021-04-01,32414,Adams,260,-9999,-9999,Illinois,28,Sex
0500000US17001,Male,2022-04-01,32311,Adams,317,-9999,-9999,Illinois,29,Sex
0500000US17001,Male,2023-04-01,31962,Adams,340,-9999,-9999,Illinois,30,Sex
0500000US17001,Male,2018-01-01,32481,Adams,330,-9999,-9999,Illinois,31,Sex
0500000US17001,Male,2019-01-01,32276,Adams,314,-9999,-9999,Illinois,32,Sex
